# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME
0.666667 3600000.0 -0.707439244444 0.0997 -2.32620588889 5 7.07254 0.531145 5.41808391667 1.49999925 0.353332654294 0.232751412645 0.00304448267351 0.00486926460924 6.74089777471e-06 125 12250 50 10000 353.774264793 0.00045668026647 -0.0669255728768 -0.133828326451 3.53627 -2.39313146177 -0.143132586765 0.0997 ./data/phasediag2/test0063.out 
1.25 3600000.0 -1.20371920556 0.0883 -3.54984538889 5 6.805 0.350175 12.6328618056 0.8 0.396666591513 -0.227040795628 0.0491555008435 0.0315532179569 0.000825117981203 125 8950 50 10000 315.126110125 0.00144377263673 -0.0843444516902 -0.168652656572 3.4025 -3.63418984058 -2.43418984058 0.0883 ./data/phasediag2/test0064.out 
1.11111 3600000.0 -1.25164262222 0.0893 -3.17305188889 5 6.805 0.405389 10.0832292778 0.900000900001 0.396666591513 -0.206383397819 0.0184826645117 0.0163237377785 6.15892607601e-05 125 15100 50 10000 315.126110125 0.000684271505958 -0.0843444516902 -0.168652656572 3.4025 -3.25739634058 -1.90739499058 0.0893 ./data/phasediag2/test0065.out 
1.0 3600000.0 -1.18270448056 0.0903 -2.94240858333 5 6.805 0.442868 8.66942522222 1.0 0.396666591513 -0.139371637988 0.0116569509485 0.0151334089322 6.33472662406e-05 125 7550 50 10000 315.126110125 0.00068810324612 -0.0843444516902 -0.168652656572 3.4025 -3.02675303502 -1.52675303502 0.0903 ./data/phasediag2/test0066.out 
0.909091 3600000.0 -1.10314168611 0.0913 -2.82395594444 5 6.805 0.466694 7.98402733333 1.09999989 0.396666591513 -0.0681451199868 0.00768608184318 0.00847729305497 2.99694183107e-05 125 8250 50 10000 315.126110125 0.000488447117655 -0.0843444516902 -0.168652656572 3.4025 -2.90830039613 -1.25830056113 0.0913 ./data/phasediag2/test0067.out 
0.833333 3600000.0 -1.01851091667 0.0923 -2.73830833333 5 6.805 0.483343 7.50713683333 1.20000048 0.396666591513 0.00509197205048 0.00611409575494 0.00873707213541 2.67329434319e-05 125 7100 50 10000 315.126110125 0.000617765756547 -0.0843444516902 -0.168652656572 3.4025 -2.82265278502 -1.02265206502 0.0923 ./data/phasediag2/test0068.out 
0.769231 3600000.0 -0.909981963889 0.0933 -2.68383344444 5 6.805 0.494179 7.21005466667 1.29999961 0.396666591513 0.0878080958806 0.00419687183655 0.00588226013707 1.56557151429e-05 125 7450 50 10000 315.126110125 0.000383601296143 -0.0843444516902 -0.168652656572 3.4025 -2.76817789613 -0.818178481134 0.0933 ./data/phasediag2/test0069.out 
0.714286 3600000.0 -0.789865461111 0.0943 -2.63994138889 5 6.805 0.502665 6.97596319444 1.39999944 0.396666591513 0.17512089134 0.00340441990509 0.00519653651248 5.55212694939e-06 125 10600 50 10000 315.126110125 0.0004255462265 -0.0843444516902 -0.168652656572 3.4025 -2.72428584058 -0.624286680579 0.0943 ./data/phasediag2/test0070.out 
0.666667 3600000.0 -0.690117483333 0.0953 -2.58777441667 5 6.805 0.512308 6.70329108333 1.49999925 0.396666591513 0.25435416548 0.00298429266377 0.00451292097923 4.69559765445e-06 125 6900 50 10000 315.126110125 0.000520183409741 -0.0843444516902 -0.168652656572 3.4025 -2.67211886836 -0.422119993356 0.0953 ./data/phasediag2/test0071.out 
1.25 3600000.0 -1.35525076389 0.084 -3.59773736111 5 6.57384 0.368979 12.9596711111 0.8 0.439999946954 -0.335607366897 0.0249327993381 0.0160202145701 0.00017449044053 125 16800 50 10000 284.09094334 0.000587527658105 -0.103774109574 -0.20749334374 3.28692 -3.70151147069 -2.50151147069 0.084 ./data/phasediag2/test0072.out 
1.11111 3600000.0 -1.31474755833 0.085 -3.33082455556 5 6.57384 0.409408 11.1110186389 0.900000900001 0.439999946954 -0.273785567905 0.0205264021533 0.016698870864 0.000131961593326 125 12850 50 10000 284.09094334 0.00071497625457 -0.103774109574 -0.20749334374 3.28692 -3.43459866513 -2.08459731513 0.085 ./data/phasediag2/test0073.out 
